|NombreProceso|NombreGrupo|Fecha|total_ejecucionesFecha|total_mipsFecha
1743|(SINCO)PSINCO/CRLIPEDIDO ON EXF|RESURTIDO|2024-09-11|2|1.251875074134477e-06
1744|WFL/OPCON/COPIA/ENTRADA/RESPALDO/CRCARCETIA|OPERACION|2024-09-11|1|1.4709532121080105e-06
1745|(SINCO)PSINCO/WRBAJAPEDI ON EXF|PEDIDOS|2024-09-11|7|0.793466933441245
1746|WFL/OPCON/CRCAMBTIPN|OPERACION|2024-09-11|3|6.00900035584549e-06
1747|(SINCO)PSINCO/CRCARPREVE ON EXF|PRECIOS|2024-09-11|68|0.44975521147769126
1748|WFL/OPCON/COPIA/ENTRADA/DUMPALL/CRCARPREFA|PRECIOS|2024-09-11|4|0.00031495612021380774
1749|WFL/OPCON/DRCARCEEDP|OPERACION|2024-09-11|1|1.5335469658147343e-06
1750|(SINCO)PSINCO/DRCONFIEMP ON EXF|EVENTOS|2024-09-11|1|0.00016828330684052705
1751|WFL/OPCON/COPIA/SALIDA/RESPALDO/TRSINEDESP|OPERACION|2024-09-11|1|3.6147892765633025e-06
1752|WFL/OPCON/RESPALDO/SALIDA/IRADIDEDIA|OPERACION|2024-09-11|1|5.007500296537908e-07
1753|WFL/OPCON/CRAPLICOND|OPERACION|2024-09-11|1|2.6132892172557207e-06
1754|*SYSTEM/MQSERIES/APISUPPORT|UNISYS_SW1|2024-09-11|2|6.005870668160177e-05
1755|UTIL/COPIA/PLANEG|OPERACION|2024-09-11|19|3.1500306552908776e-05
1756|(SINCO)PSINCO/DRETIPRES ON EXF|UNISYS_UNASSIGNED|2024-09-11|555|0.09983345366982474
1757|CCF/LOGON/PORT_IN_HANDLER|SINCO|2024-09-11|2|0.0
1758|WFL/OPCON/CRECECRE|OPERACION|2024-09-11|1|1.236226635707796e-06
1759|WFL/OPCON/COPIA/SALIDA/RESPALDO/WRPMCARDPO|OPERACION|2024-09-11|72|0.00018098983884299203
1760|WFL/OPCON/DRDEVOLCAR|OPERACION|2024-09-11|1|1.643086034801501e-06
1761|WFL/OPCON/COPIA/SANDM/SALIDA/WREDIPED|OPERACION|2024-09-11|62|0.00024015658453427262
1762|WFL/OPCON/WRPMCARDPO|OPERACION|2024-09-11|72|0.0001085532173658859
1763|WFL/OPCON/DRINFDREXA|OPERACION|2024-09-11|1|1.4709532121080108e-06
1764|WFL/OPCON/WRPEDIDTEX|DIDETEXCO|2024-09-11|2|1.445915710625321e-05
1765|(SINCO)PSINCO/CRPLAPRODU ON EXF|NEGOCIOS|2024-09-11|2|0.009401300134858244
1766|WFL/OPCON/COPIA/SALIDA/RESPALDO/DRCEDEE|OPERACION|2024-09-11|1|2.175132941308654e-06
1767|WFL/OPCON/COPIA/SNDMV/SALIDA/WRSCEENVIM|OPERACION|2024-09-11|138|0.0002777910789504404
1768|WFL/OPCON/COPIA/SALIDA/CRPLUNEWMS|OPERACION|2024-09-11|1|1.4709532121080105e-06
1769|(SINCO)FTP/FILE/TRANSFER/FROM/EXITO|FTP|2024-09-11|4913|0.018467833226454376
1770|WFL/OPCON/COPIA/SALIDA/WRCONVESIN|CONVENIOS|2024-09-11|1|3.4426564538698118e-06
1771|(SINCO)PSINCO/WRPMCARDPO ON EXF|UNISYS_UNASSIGNED|2024-09-11|72|0.019685813782956783
1772|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRPROVAUTO-D|OPERACION|2024-09-11|1|2.3003204487221014e-06
1773|WFL/OPCON/WRPEDAPRO_PPA|PEDIDOS|2024-09-11|38|0.0002311587324389312
1774|WFL/OPCON/TRSINETENT|OPERACION|2024-09-11|1|1.3614141431212438e-06
1775|WFL/OPCON/COPIA/SALIDA/RESPALDO/WRPMCARDPC|OPERACION|2024-09-11|72|0.00019058233159854746
1776|WFL/OPCON/DUMPALL/CRCOSTEOCR|VENTAS|2024-09-11|2|0.003024764905685297
1777|(SINCO)PSINCO/IRPREPSELE ON EXF|INVENTARIOS|2024-09-11|669|0.35037014816254475
1778|(SINCO)PSINCO/WRBAJAIERE ON EXF|INVENTARIOS|2024-09-11|1|0.06296973873680171
1779|WFL/OPCON/LEER/SBL/DRVMICONT|COBROS|2024-09-11|1|2.3503954516874807e-05
1780|(SINCO)PSINCO/WRCARPLUMQ ON EXF|UNISYS_UNASSIGNED|2024-09-11|116|0.023691188082650035
1781|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRSOLPDOTA|OPERACION|2024-09-11|1|4.021648675657007e-06
1782|WFL/OPCON/COPIA/ENTRADA/RESPALDO/WRPMCARPAV|OPERACION|2024-09-11|1|1.9560548033351204e-06
1783|(CPY)BDCPY|OPERACION|2024-09-11|2|2.0906313738045823e-05
1784|TCPIP/SSH/|RED|2024-09-11|8|1.4099243022439547e-05
1785|PRINTS/FONTSUPPORT/INITIALIZATION|IMPRESION|2024-09-11|1|1.705679788508225e-06
1786|WFL/OPCON/COPIA/SALIDA/RESPALDO/WREXFONFOM|OPERACION|2024-09-11|1|2.941906424216021e-06
1787|WFL/OPCON/WRLISINDUS/CORTES|PEDIDOS|2024-09-11|4|5.7273284641652325e-06
1788|WFL/OPCON/COPIA/SALIDA/WRPMENVDER|OPERACION|2024-09-11|98|0.00014535834454543938
1789|(SINCO)PSINCO/SRPLAUSUAR ON EXF|UNISYS_UNASSIGNED|2024-09-11|1|0.00024192485807648768
